web-scraper-order,web-scraper-start-url,Name,Status,Fall,Year,Place,Type,Mass,MetBull
"1685536964-1","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Angra dos Reis (stone)","Official","Y","1869","Rio de Janeiro, Brazil","Angrite","1500 g",""
"1685536964-2","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Araguainha **","Crater","","254.7 ± 2.5 Ma","Mato Grosso, Brazil","Impact Crater","",""
"1685536964-3","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Arraias **","Official","","2015","Tocantins, Brazil","Iron, IIAB","25 kg","108"
"1685536964-4","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Augusto Pestana **","Official","","1977","Rio Grande do Sul, Brazil","Iron, IIIE","24 kg","111"
"1685536964-5","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Avanhandava","Official","Y","1952","Sao Paulo, Brazil","H4","9.33 kg",""
"1685536964-6","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Balsas **","Official","","1974","Maranhao, Brazil","Iron, IIIAB","41 kg","82"
"1685536964-7","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Barbacena","Official","","1918","Minas Gerais, Brazil","Iron, ungrouped","9.03 kg",""
"1685536964-8","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Bendegó","Official","","1784","Bahia, Brazil","Iron, IC","5.36 t",""
"1685536964-9","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Bezerros","Doubtful","Y","1915","Pernambuco, Brazil","Doubtful Iron","",""
"1685536964-10","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Blumenau **","Official","","1986","Santa Catarina, Brazil","Iron, IVA","","82"
"1685536964-11","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Bocaiuva **","Official","","1965","Minas Gerais, Brazil","Iron, ungrouped","64 kg","62"
"1685536964-12","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Buritizal **","Official","Yc","1967","Sao Paulo, Brazil","LL3.2","210 g","105"
"1685536964-13","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Caçapava do Sul **","Official","","","Rio Grande do Sul, Brazil","Iron, IID","27 kg","107"
"1685536964-14","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Cacilandia","Official","","","Brazil","H6","",""
"1685536964-15","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Campinorte **","Official","","1992","Goias, Brazil","Iron, ungrouped","2 t","99"
"1685536964-16","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Campos Sales **","Official","Y","1991","Ceara, Brazil","L5","23.68 kg","78"
"1685536964-17","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Capão do Leão **","Official","Np","2019","Rio Grande do Sul, Brazil","L5","210 g","110"
"1685536964-18","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Casimiro de Abreu","Official","","1947","Rio de Janeiro, Brazil","Iron, IIIAB","25 kg",""
"1685536964-19","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Castanheiras **","Official","","2017","Rondonia, Brazil","Iron, ungrouped","1162 g","110"
"1685536964-20","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Colônia **","Crater","","5-36 Ma","Sao Paulo, Brazil","Impact Crater","",""
"1685536964-21","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Conceicao do Tocantins **","Official","","2021","Tocantins, Brazil","Iron, IIAB","449 g","111"
"1685536964-22","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Conquista **","Official","Y","1965","Minas Gerais, Brazil","H4","20.35 kg","59"
"1685536964-23","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Cratheús (1931)","Official","","1914","Ceara, Brazil","Iron, IVA","27.5 kg",""
"1685536964-24","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Cratheús (1950)","Official","","1909","Brazil","Iron, IIC","367 g",""
"1685536964-25","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Cruz Alta **","Official","","2008","Rio Grande do Sul, Brazil","Iron, IIAB","48 kg","103"
"1685536964-26","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Curvello","Doubtful","Y","1833","Minas Gerais, Brazil","Doubtful meteorite","218 g",""
"1685536964-27","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Faina **","Official","","2011","Goias, Brazil","Iron, IAB complex","440 g","103"
"1685536964-28","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Governador Valadares","Official","","1958","Minas Gerais, Brazil","Martian (nakhlite)","158 g",""
"1685536964-29","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Hermenegildo **","Official","","2004","Rio Grande do Sul, Brazil","H5","300 g","107"
"1685536964-30","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Ibitira **","Official","Y","1957","Minas Gerais, Brazil","Eucrite-mmict","2.5 kg","6"
"1685536964-31","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Iguaracu **","Official","Y","1977","Parana, Brazil","H5","1200 g","68"
"1685536964-32","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Indianópolis **","Official","","1989","Minas Gerais, Brazil","Iron, IIAB","14.85 kg","84"
"1685536964-33","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Ipiranga **","Official","Y","1972","Parana, Brazil","H6","7 kg","52"
"1685536964-34","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Ipitinga **","Official","","1989","Para, Brazil","H5","7 kg","73"
"1685536964-35","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Itapicuru-Mirim","Official","Y","1879","Maranhao, Brazil","H5","2.02 kg",""
"1685536964-36","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Itapuranga **","Official","","","Goias, Brazil","Iron, IAB-MG","628 kg","58"
"1685536964-37","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Itutinga","Official","","1960","Minas Gerais, Brazil","Iron, IIIAB","3.2 kg",""
"1685536964-38","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Lavras do Sul **","Official","","1985","Rio Grande do Sul, Brazil","L5","1000 g","99"
"1685536964-39","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Macau","Official","Y","1836","Rio Grande do Norte, Brazil","H5","1500 g",""
"1685536964-40","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Mafra","Official","Y","1941","Santa Catarina, Brazil","L3-4","600 g",""
"1685536964-41","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Maria da Fé **","Official","","1987","Minas Gerais, Brazil","Iron, IVA","18 kg","83"
"1685536964-42","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Marilia **","Official","Y","1971","Sao Paulo, Brazil","H4","2.5 kg","52"
"1685536964-43","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Minas Gerais","Official","","1888","Minas Gerais, Brazil","L6","1224 g",""
"1685536964-44","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Minas Gerais (b)","Official","","2001","Minas Gerais, Brazil","H4","42.6 g","90"
"1685536964-45","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Monte Alto","Doubtful","","1888","Bahia, Brazil","Doubtful Iron","",""
"1685536964-46","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Montes Claros de Goias **","Official","","2018","Goias, Brazil","H5","14.92 kg","109"
"1685536964-47","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Morro do Rocio","Official","","1928","Santa Catarina, Brazil","H5","369 g",""
"1685536964-48","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Nossa Senhora do Livramento **","Official","","2016","Mato Grosso, Brazil","Iron, IIIAB","1120 g","106"
"1685536964-49","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Nova Lima","Pseudo","","1960","Minas Gerais, Brazil","Pseudometeorite","15 g",""
"1685536964-50","https://www.lpi.usra.edu/meteor/metbull.php?sea=%2A&sfor=names&ants=&nwas=&falls=&valids=&stype=contains&lrec=200&map=ge&browse=&country=Brazil&srt=name&categ=All&mblist=All&rect=&phot=&strewn=&snew=0&pnt=Normal%20table&dr=&page=0","Nova Olinda **","Official","","2014","Paraiba, Brazil","Iron, IIAB","26.93 kg","111"
